,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description,Rain last hr,Snow last hr
228,Cedar City,37.68,-113.06,87.8,10,1,13.87,US,2020-06-28 01:47:46,clear sky,0.0,0.0
229,Tambilil,5.96,124.67,82.4,74,40,2.24,PH,2020-06-28 01:49:40,scattered clouds,0.0,0.0
230,Trairi,-3.28,-39.27,76.48,84,11,6.6,BR,2020-06-28 01:49:40,light rain,0.2,0.0
231,Saint-Pierre,-21.34,55.48,68.0,77,20,4.7,RE,2020-06-28 01:49:40,few clouds,0.0,0.0
232,Richards Bay,-28.78,32.04,60.71,43,0,11.79,ZA,2020-06-28 01:49:40,clear sky,0.0,0.0
233,Alyangula,-13.85,136.42,80.6,65,75,9.17,AU,2020-06-28 01:49:40,broken clouds,0.0,0.0
234,Iqaluit,63.75,-68.51,39.2,86,40,4.7,CA,2020-06-28 01:49:40,scattered clouds,0.0,0.0
235,Champerico,14.3,-91.92,82.24,79,68,5.59,GT,2020-06-28 01:49:40,broken clouds,0.0,0.0
236,Byron Bay,-28.65,153.62,60.01,93,75,8.05,AU,2020-06-28 01:49:40,broken clouds,0.0,0.0
237,Sao Joao Da Barra,-21.64,-41.05,69.3,87,9,14.12,BR,2020-06-28 01:46:12,clear sky,0.0,0.0
238,Sulphur Springs,33.14,-95.6,86.0,58,1,6.93,US,2020-06-28 01:49:40,clear sky,0.0,0.0
239,Ust-Ilimsk,58.0,102.66,79.65,40,35,6.85,RU,2020-06-28 01:49:40,scattered clouds,0.0,0.0
240,Srednekolymsk,67.45,153.68,57.58,33,100,8.75,RU,2020-06-28 01:49:41,overcast clouds,0.0,0.0
241,Biak,-0.91,122.88,76.24,82,100,5.17,ID,2020-06-28 01:49:41,light rain,0.58,0.0
242,Waingapu,-9.66,120.26,82.27,62,13,12.26,ID,2020-06-28 01:49:41,few clouds,0.0,0.0
243,Praia Da Vitoria,38.73,-27.07,69.8,88,90,5.5,PT,2020-06-28 01:49:41,overcast clouds,0.0,0.0
244,Copiapo,-27.37,-70.33,55.4,82,75,14.99,CL,2020-06-28 01:49:41,broken clouds,0.0,0.0
245,Mar Del Plata,-38.0,-57.56,43.0,93,40,3.36,AR,2020-06-28 01:47:52,scattered clouds,0.0,0.0
246,Tomatlan,19.93,-105.25,80.15,75,30,2.59,MX,2020-06-28 01:49:41,scattered clouds,0.0,0.0
247,Vigevano,45.31,8.86,69.01,98,6,3.96,IT,2020-06-28 01:49:41,clear sky,0.0,0.0
248,Hasaki,35.73,140.83,72.0,94,75,6.93,JP,2020-06-28 01:49:41,heavy intensity shower rain,0.0,0.0
249,Mapiripan,2.89,-72.13,73.62,91,54,0.81,CO,2020-06-28 01:49:41,broken clouds,0.0,0.0
250,Cocobeach,1.0,9.58,77.0,88,20,5.82,GA,2020-06-28 01:49:41,few clouds,0.0,0.0
251,Araouane,18.9,-3.53,94.75,13,18,10.92,ML,2020-06-28 01:45:57,few clouds,0.0,0.0
252,Meulaboh,4.14,96.13,81.77,74,5,4.5,ID,2020-06-28 01:49:41,clear sky,0.0,0.0
253,Elizabeth City,36.29,-76.25,82.4,65,1,5.82,US,2020-06-28 01:49:41,clear sky,0.0,0.0
254,Ahuimanu,21.44,-157.84,86.0,62,40,14.99,US,2020-06-28 01:49:41,scattered clouds,0.0,0.0
255,Le Vauclin,14.55,-60.84,82.4,83,75,9.17,MQ,2020-06-28 01:49:41,broken clouds,0.0,0.0
256,Kargasok,59.06,80.86,67.42,84,78,9.08,RU,2020-06-28 01:49:41,broken clouds,0.0,0.0
257,Santa Ana,33.75,-117.87,75.0,68,40,10.29,US,2020-06-28 01:45:02,scattered clouds,0.0,0.0
258,Emerald,-23.53,148.17,71.6,53,95,10.29,AU,2020-06-28 01:49:41,overcast clouds,0.0,0.0
259,Te Anau,-45.42,167.72,46.56,86,100,4.47,NZ,2020-06-28 01:49:41,overcast clouds,0.0,0.0
260,Ancud,-41.87,-73.82,45.0,93,20,3.36,CL,2020-06-28 01:49:41,few clouds,0.0,0.0
261,Brownsburg,39.84,-86.4,73.99,94,40,10.76,US,2020-06-28 01:49:03,scattered clouds,0.0,0.0
262,Wanaka,-44.7,169.15,39.99,91,100,3.58,NZ,2020-06-28 01:49:42,moderate rain,2.54,0.0
263,Rundu,-17.93,19.77,50.0,47,0,1.12,NA,2020-06-28 01:45:09,clear sky,0.0,0.0
264,Camana,-16.62,-72.71,61.07,81,3,5.82,PE,2020-06-28 01:49:42,clear sky,0.0,0.0
265,Shenjiamen,29.96,122.3,75.65,95,100,11.72,CN,2020-06-28 01:49:42,light rain,0.95,0.0
266,Atar,20.52,-13.05,95.25,10,0,10.49,MR,2020-06-28 01:49:42,clear sky,0.0,0.0
267,Pisco,-13.7,-76.22,62.6,82,3,13.87,PE,2020-06-28 01:49:42,clear sky,0.0,0.0
268,Petropavlovsk-Kamchatskiy,53.05,158.65,78.8,44,26,6.71,RU,2020-06-28 01:49:42,scattered clouds,0.0,0.0
269,Morro Bay,35.37,-120.85,70.0,91,32,1.99,US,2020-06-28 01:45:12,scattered clouds,0.0,0.0
270,Aripuana,-9.17,-60.63,74.23,69,37,0.96,BR,2020-06-28 01:49:42,scattered clouds,0.0,0.0
271,Vestmannaeyjar,63.44,-20.27,52.52,89,100,1.14,IS,2020-06-28 01:49:42,overcast clouds,0.0,0.0
272,Bandundu,-3.32,17.37,76.93,55,75,2.01,CD,2020-06-28 01:49:42,broken clouds,0.0,0.0
273,Dunedin,-45.87,170.5,51.01,91,100,1.01,NZ,2020-06-28 01:49:42,light rain,0.76,0.0
274,Katsina,12.99,7.6,81.39,65,98,15.21,NG,2020-06-28 01:49:42,overcast clouds,0.0,0.0
275,Saint-Joseph,-21.37,55.62,68.0,77,20,4.7,RE,2020-06-28 01:49:42,few clouds,0.0,0.0
276,Deputatskiy,69.3,139.9,61.61,54,99,3.78,RU,2020-06-28 01:49:42,overcast clouds,0.0,0.0
277,Sao Gabriel Da Cachoeira,-0.13,-67.09,73.44,95,56,1.5,BR,2020-06-28 01:49:42,light rain,0.72,0.0
278,Makakilo City,21.35,-158.09,87.8,52,75,10.29,US,2020-06-28 01:45:18,broken clouds,0.0,0.0
279,Halifax,44.65,-63.57,63.0,71,100,1.01,CA,2020-06-28 01:46:07,overcast clouds,0.0,0.0
280,Sistranda,63.73,8.83,71.6,60,0,12.75,NO,2020-06-28 01:49:43,clear sky,0.0,0.0
281,Dicabisagan,17.08,122.42,87.75,61,100,6.8,PH,2020-06-28 01:49:43,overcast clouds,0.0,0.0
282,Fairbanks,64.84,-147.72,69.01,37,1,2.48,US,2020-06-28 01:49:43,clear sky,0.0,0.0
283,Port Hardy,50.7,-127.42,60.8,63,75,12.75,CA,2020-06-28 01:45:02,broken clouds,0.0,0.0
284,Ballitoville,-29.54,31.21,55.4,62,0,5.82,ZA,2020-06-28 01:49:43,clear sky,0.0,0.0
285,Dubinino,55.62,89.09,72.46,62,62,11.86,RU,2020-06-28 01:49:43,broken clouds,0.0,0.0
286,Lavrentiya,65.58,-171.0,42.15,68,56,16.02,RU,2020-06-28 01:49:43,broken clouds,0.0,0.0
287,Tabuk,17.42,121.44,86.22,65,100,6.44,PH,2020-06-28 01:49:43,overcast clouds,0.0,0.0
288,Salalah,17.02,54.09,82.4,94,75,3.36,OM,2020-06-28 01:49:43,broken clouds,0.0,0.0
289,Batticaloa,7.71,81.69,82.29,72,64,3.58,LK,2020-06-28 01:49:43,broken clouds,0.0,0.0
290,Tessalit,20.2,1.01,90.77,14,0,18.48,ML,2020-06-28 01:49:43,clear sky,0.0,0.0
291,Terrace,54.52,-128.6,62.6,63,75,4.7,CA,2020-06-28 01:45:21,shower rain,0.0,0.0
292,Tarauaca,-8.16,-70.77,74.25,83,37,1.99,BR,2020-06-28 01:49:43,scattered clouds,0.0,0.0
293,Malakal,9.53,31.66,76.87,79,99,2.51,SS,2020-06-28 01:49:43,light rain,0.31,0.0
294,Mahon,39.89,4.27,68.0,88,0,1.52,ES,2020-06-28 01:49:43,clear sky,0.0,0.0
295,Chimore,-16.98,-65.13,57.96,69,88,2.13,BO,2020-06-28 01:49:43,overcast clouds,0.0,0.0
296,Haines Junction,60.75,-137.51,69.53,24,100,4.79,CA,2020-06-28 01:49:43,overcast clouds,0.0,0.0
297,Naze,28.37,129.48,80.6,94,75,14.99,JP,2020-06-28 01:49:44,light rain,0.0,0.0
298,Codrington,-38.27,141.97,53.94,67,0,7.56,AU,2020-06-28 01:49:44,clear sky,0.0,0.0
299,Pathein,16.78,94.73,81.18,82,100,4.94,MM,2020-06-28 01:49:44,light rain,1.0,0.0
300,Constitucion,-35.33,-72.42,54.09,84,100,5.41,CL,2020-06-28 01:49:44,overcast clouds,0.0,0.0
301,Yar-Sale,66.83,70.83,50.58,61,23,6.08,RU,2020-06-28 01:49:44,few clouds,0.0,0.0
302,Gayny,60.31,54.32,46.35,82,40,9.98,RU,2020-06-28 01:49:44,scattered clouds,0.0,0.0
303,Keti Bandar,24.14,67.45,87.3,73,74,18.61,PK,2020-06-28 01:49:44,broken clouds,0.0,0.0
304,Kidal,18.44,1.41,86.85,29,5,6.89,ML,2020-06-28 01:49:44,clear sky,0.0,0.0
305,Aguas Formosas,-17.08,-40.94,66.49,91,7,1.61,BR,2020-06-28 01:49:44,clear sky,0.0,0.0
306,Tianpeng,30.99,103.94,89.01,1,85,3.85,CN,2020-06-28 01:49:44,overcast clouds,0.0,0.0
307,Goya,-29.14,-59.26,45.97,79,100,4.43,AR,2020-06-28 01:49:44,overcast clouds,0.0,0.0
308,Kyren,51.68,102.14,75.81,34,1,0.22,RU,2020-06-28 01:49:44,clear sky,0.0,0.0
309,Sitka,57.05,-135.33,57.2,76,75,13.87,US,2020-06-28 01:49:44,broken clouds,0.0,0.0
310,Poronaysk,49.22,143.12,52.92,86,100,6.98,RU,2020-06-28 01:49:44,overcast clouds,0.0,0.0
311,Progreso,21.28,-89.67,84.99,70,75,9.17,MX,2020-06-28 01:49:44,broken clouds,0.0,0.0
312,Cuamba,-14.8,36.54,62.42,70,5,1.23,MZ,2020-06-28 01:49:44,clear sky,0.0,0.0
313,Torbay,47.67,-52.73,55.0,100,75,9.17,CA,2020-06-28 01:49:44,broken clouds,0.0,0.0
314,Mazyr,52.05,29.25,63.41,88,91,6.85,BY,2020-06-28 01:49:44,overcast clouds,0.0,0.0
315,Port Lincoln,-34.73,135.87,58.73,47,0,12.71,AU,2020-06-28 01:49:44,clear sky,0.0,0.0
316,Ilhabela,-23.78,-45.36,63.48,83,72,2.84,BR,2020-06-28 01:47:06,broken clouds,0.0,0.0
317,North Bend,43.41,-124.22,66.0,77,1,18.34,US,2020-06-28 01:49:44,clear sky,0.0,0.0
318,Henties Bay,-22.12,14.28,51.01,90,0,5.55,NA,2020-06-28 01:49:45,clear sky,0.0,0.0
319,Saint-Georges,12.06,-61.75,80.6,88,40,16.11,GD,2020-06-28 01:49:45,scattered clouds,0.0,0.0
320,Biankouma,7.74,-7.61,68.47,98,77,2.53,CI,2020-06-28 01:49:45,broken clouds,0.0,0.0
321,Havre-Saint-Pierre,50.23,-63.6,59.0,93,90,14.99,CA,2020-06-28 01:49:45,overcast clouds,0.0,0.0
322,Vila Velha,-20.33,-40.29,75.2,73,0,5.82,BR,2020-06-28 01:49:45,clear sky,0.0,0.0
323,Seoul,37.57,126.98,80.6,69,20,5.82,KR,2020-06-28 01:46:33,few clouds,0.0,0.0
324,Vila Praia De Ancora,41.81,-8.85,64.0,93,75,3.36,PT,2020-06-28 01:49:45,broken clouds,0.0,0.0
325,Nieuwpoort,51.12,2.77,59.0,77,100,12.75,BE,2020-06-28 01:49:45,overcast clouds,0.0,0.0
326,Manggar,-2.88,108.27,83.43,77,79,14.47,ID,2020-06-28 01:49:45,light rain,0.18,0.0
327,Pinotepa Nacional,16.32,-98.02,77.72,83,66,1.79,MX,2020-06-28 01:49:45,light rain,0.4,0.0
328,Lompoc,34.64,-120.46,68.0,72,6,11.41,US,2020-06-28 01:49:45,clear sky,0.0,0.0
329,Coihaique,-45.58,-72.07,33.8,59,75,5.82,CL,2020-06-28 01:49:45,broken clouds,0.0,0.0
330,Gat,31.61,34.76,71.01,90,0,2.77,IL,2020-06-28 01:49:45,clear sky,0.0,0.0
331,Karacabey,40.22,28.4,71.6,83,0,18.34,TR,2020-06-28 01:49:45,clear sky,0.0,0.0
332,Nouadhibou,20.93,-17.03,71.6,78,0,20.8,MR,2020-06-28 01:49:45,clear sky,0.0,0.0
333,Kavaratti,10.57,72.64,83.48,76,43,16.55,IN,2020-06-28 01:49:45,scattered clouds,0.0,0.0
334,Pacific Grove,36.62,-121.92,60.8,82,90,8.05,US,2020-06-28 01:49:45,overcast clouds,0.0,0.0
335,Berlevag,70.86,29.09,44.02,85,100,14.83,NO,2020-06-28 01:49:45,overcast clouds,0.0,0.0
336,Hibbing,47.43,-92.94,78.8,44,20,3.36,US,2020-06-28 01:49:45,few clouds,0.0,0.0
337,Brae,60.4,-1.35,55.4,100,88,14.99,GB,2020-06-28 01:49:45,overcast clouds,0.0,0.0
338,Moroni,-11.7,43.26,75.69,71,0,5.55,KM,2020-06-28 01:49:46,clear sky,0.0,0.0
339,Aginskoye,51.1,114.53,69.12,59,100,6.04,RU,2020-06-28 01:49:46,light rain,0.26,0.0
340,Tommot,58.96,126.29,79.66,36,0,5.3,RU,2020-06-28 01:49:46,clear sky,0.0,0.0
341,Bosaso,11.28,49.18,90.39,45,100,14.81,SO,2020-06-28 01:49:46,light rain,0.27,0.0
342,Okha,53.57,142.95,52.43,87,100,3.91,RU,2020-06-28 01:49:46,overcast clouds,0.0,0.0
343,Boone,39.03,-92.33,78.01,85,100,1.99,US,2020-06-28 01:49:46,overcast clouds,0.0,0.0
344,Mao,39.89,4.27,68.0,88,0,1.52,ES,2020-06-28 01:49:46,clear sky,0.0,0.0
345,Iralaya,15.0,-83.23,80.47,87,100,10.36,HN,2020-06-28 01:49:46,overcast clouds,0.0,0.0
346,Shache,38.42,77.24,74.52,27,53,16.35,CN,2020-06-28 01:49:46,broken clouds,0.0,0.0
347,Cabo San Lucas,22.89,-109.91,86.0,55,75,10.29,MX,2020-06-28 01:49:46,broken clouds,0.0,0.0
348,Zhangye,38.93,100.45,73.24,31,0,0.94,CN,2020-06-28 01:49:46,clear sky,0.0,0.0
349,Beringovskiy,63.05,179.32,45.3,57,46,14.9,RU,2020-06-28 01:45:16,scattered clouds,0.0,0.0
350,Airai,-8.93,125.41,70.12,65,55,5.03,TL,2020-06-28 01:49:46,broken clouds,0.0,0.0
351,Saint-Cesaire,45.42,-73.0,75.2,53,90,6.93,CA,2020-06-28 01:49:46,overcast clouds,0.0,0.0
352,Sept-Iles,50.2,-66.38,60.8,82,40,11.41,CA,2020-06-28 01:49:46,scattered clouds,0.0,0.0
353,Muros,42.78,-9.06,60.01,94,13,1.99,ES,2020-06-28 01:45:24,few clouds,0.0,0.0
354,Ust-Kuyga,70.02,135.6,83.75,33,90,10.16,RU,2020-06-28 01:49:46,overcast clouds,0.0,0.0
355,The Pas,53.83,-101.25,60.8,100,90,5.82,CA,2020-06-28 01:49:46,overcast clouds,0.0,0.0
356,Kamarion,36.8,25.82,73.99,76,0,3.0,GR,2020-06-28 01:49:47,clear sky,0.0,0.0
357,Tiznit,29.58,-9.5,66.78,47,0,2.06,MA,2020-06-28 01:49:47,clear sky,0.0,0.0
358,Ahar,38.48,47.07,51.85,72,1,3.87,IR,2020-06-28 01:49:47,clear sky,0.0,0.0
359,San Quintin,30.48,-115.95,65.55,81,10,11.43,MX,2020-06-28 01:49:47,clear sky,0.0,0.0
360,Bonthe,7.53,-12.51,76.5,88,100,4.59,SL,2020-06-28 01:49:47,light rain,0.92,0.0
361,Dogondoutchi,13.64,4.03,89.15,50,3,14.99,NE,2020-06-28 01:45:47,clear sky,0.0,0.0
362,Hope,33.67,-93.59,87.01,68,33,4.5,US,2020-06-28 01:49:47,scattered clouds,0.0,0.0
363,Virginia Beach,36.85,-75.98,82.4,54,40,10.87,US,2020-06-28 01:46:26,scattered clouds,0.0,0.0
364,Mackay,-21.15,149.2,69.8,77,90,16.11,AU,2020-06-28 01:47:05,overcast clouds,0.0,0.0
365,Cap Malheureux,-19.98,57.61,72.0,77,72,5.99,MU,2020-06-28 01:49:47,broken clouds,0.0,0.0
366,Saldanha,-33.01,17.94,55.4,82,63,2.24,ZA,2020-06-28 01:49:47,broken clouds,0.0,0.0
367,Wunsiedel,50.03,12.02,63.0,94,54,3.0,DE,2020-06-28 01:49:47,broken clouds,0.0,0.0
368,Nadvoitsy,63.87,34.32,47.66,78,8,3.83,RU,2020-06-28 01:49:47,clear sky,0.0,0.0
369,Husavik,66.04,-17.34,46.4,100,90,2.91,IS,2020-06-28 01:49:47,mist,0.0,0.0
370,Bahir Dar,11.59,37.39,60.64,92,82,5.64,ET,2020-06-28 01:49:47,light rain,0.88,0.0
371,Abakaliki,6.32,8.12,73.87,94,98,6.38,NG,2020-06-28 01:49:47,light rain,0.29,0.0
372,Acapulco,16.86,-99.89,86.0,70,75,2.48,MX,2020-06-28 01:49:47,broken clouds,0.0,0.0
373,Bom Jesus Da Lapa,-13.26,-43.42,71.67,46,1,6.35,BR,2020-06-28 01:49:47,clear sky,0.0,0.0
374,Jaisinghnagar,23.7,81.38,84.09,66,70,10.16,IN,2020-06-28 01:49:48,broken clouds,0.0,0.0
375,Opportunity,47.65,-117.24,77.0,17,40,10.29,US,2020-06-28 01:49:48,scattered clouds,0.0,0.0
376,Mount Isa,-20.73,139.5,73.4,27,0,5.82,AU,2020-06-28 01:49:48,clear sky,0.0,0.0
377,Ouadda,8.08,22.4,66.36,91,98,2.59,CF,2020-06-28 01:49:48,overcast clouds,0.0,0.0
378,Fare,-16.7,-151.02,77.43,76,79,18.28,PF,2020-06-28 01:49:48,broken clouds,0.0,0.0
379,Yershov,51.35,48.28,63.3,88,12,11.95,RU,2020-06-28 01:49:48,few clouds,0.0,0.0
380,Yellowknife,62.46,-114.35,71.6,40,75,9.17,CA,2020-06-28 01:49:48,broken clouds,0.0,0.0
381,Kutum,14.2,24.67,72.93,44,2,5.14,SD,2020-06-28 01:49:48,clear sky,0.0,0.0
382,Esna,25.29,32.55,82.17,22,0,8.93,EG,2020-06-28 01:49:48,clear sky,0.0,0.0
383,Fairlie,55.76,-4.86,53.01,93,100,16.11,GB,2020-06-28 01:49:48,moderate rain,3.05,0.0
384,Ambilobe,-13.2,49.05,66.18,84,0,2.37,MG,2020-06-28 01:49:48,clear sky,0.0,0.0
385,Margate,51.38,1.39,60.01,76,100,3.0,GB,2020-06-28 01:49:48,overcast clouds,0.0,0.0
386,Andenes,69.31,16.12,48.2,93,46,24.16,NO,2020-06-28 01:46:16,scattered clouds,0.0,0.0
387,Cockburn Town,21.46,-71.14,82.58,83,43,15.5,TC,2020-06-28 01:49:48,scattered clouds,0.0,0.0
388,Hami,42.8,93.45,82.98,24,0,2.66,CN,2020-06-28 01:49:48,clear sky,0.0,0.0
389,Lensk,60.73,114.93,79.39,38,56,7.7,RU,2020-06-28 01:49:48,broken clouds,0.0,0.0
390,Belyy Yar,53.6,91.39,69.8,77,69,4.47,RU,2020-06-28 01:49:48,broken clouds,0.0,0.0
391,Noumea,-22.28,166.46,75.2,57,90,17.22,NC,2020-06-28 01:47:06,overcast clouds,0.0,0.0
392,Saskylakh,71.92,114.08,62.82,46,81,7.45,RU,2020-06-28 01:49:48,broken clouds,0.0,0.0
393,Alibag,18.64,72.88,82.4,94,75,4.7,IN,2020-06-28 01:49:48,haze,0.0,0.0
394,Kloulklubed,7.04,134.26,84.2,79,75,5.82,PW,2020-06-28 01:49:48,broken clouds,0.0,0.0
395,Pizarro,4.95,-77.37,76.78,88,100,5.35,CO,2020-06-28 01:49:49,moderate rain,1.28,0.0
396,Gornoye Loo,43.71,39.6,69.8,77,40,2.24,RU,2020-06-28 01:49:49,scattered clouds,0.0,0.0
397,Coolum Beach,-26.53,153.1,60.01,96,100,4.0,AU,2020-06-28 01:49:49,moderate rain,1.31,0.0
398,Ostrovnoy,68.05,39.51,41.56,83,100,15.14,RU,2020-06-28 01:49:49,overcast clouds,0.0,0.0
399,Tokur,53.13,132.9,73.24,44,100,4.0,RU,2020-06-28 01:49:49,light rain,0.21,0.0
400,Iwanai,42.97,140.51,64.58,87,100,2.21,JP,2020-06-28 01:49:49,overcast clouds,0.0,0.0
401,Shizunai,42.33,142.37,58.91,94,100,9.84,JP,2020-06-28 01:49:49,light rain,0.86,0.0
402,Khash,28.22,61.22,75.67,25,19,4.61,IR,2020-06-28 01:49:49,few clouds,0.0,0.0
403,Lumsden,50.65,-104.87,75.2,60,75,14.99,CA,2020-06-28 01:47:02,broken clouds,0.0,0.0
404,Chardara,41.25,67.97,64.45,31,9,11.36,KZ,2020-06-28 01:49:49,clear sky,0.0,0.0
405,Krasnoselkup,65.7,82.47,73.76,56,85,20.22,RU,2020-06-28 01:49:49,overcast clouds,0.0,0.0
406,Flinders,-34.58,150.86,60.01,58,4,7.0,AU,2020-06-28 01:49:49,clear sky,0.0,0.0
407,Pangnirtung,66.15,-65.71,45.84,72,75,2.44,CA,2020-06-28 01:49:49,broken clouds,0.0,0.0
408,Leshukonskoye,64.9,45.76,42.82,79,22,9.19,RU,2020-06-28 01:49:49,few clouds,0.0,0.0
409,Tarumovka,44.08,46.54,60.04,72,1,6.89,RU,2020-06-28 01:49:49,clear sky,0.0,0.0
410,Inuvik,68.35,-133.72,55.4,50,75,10.29,CA,2020-06-28 01:49:49,broken clouds,0.0,0.0
411,Ocos,14.51,-92.19,84.2,94,75,3.36,GT,2020-06-28 01:49:49,broken clouds,0.0,0.0
412,Vardo,70.37,31.11,44.51,84,100,15.08,NO,2020-06-28 01:49:50,overcast clouds,0.0,0.0
413,Bocas Del Toro,9.33,-82.25,63.0,94,100,1.01,PA,2020-06-28 01:49:50,overcast clouds,0.0,0.0
414,Kijang,35.24,129.21,84.2,51,20,5.82,KR,2020-06-28 01:49:50,few clouds,0.0,0.0
415,Avera,33.19,-82.53,73.4,83,1,4.7,US,2020-06-28 01:49:50,clear sky,0.0,0.0
416,Bulgan,48.81,103.53,64.2,67,100,1.81,MN,2020-06-28 01:49:50,light rain,0.11,0.0
417,Aflao,6.12,1.19,78.8,88,40,10.29,TG,2020-06-28 01:49:50,scattered clouds,0.0,0.0
418,Axim,4.87,-2.24,76.24,88,100,8.57,GH,2020-06-28 01:49:50,light rain,0.43,0.0
419,Neuquen,-38.95,-68.06,35.6,93,75,11.16,AR,2020-06-28 01:49:50,drizzle,0.0,0.0
420,Sao Joao,-8.88,-36.37,62.56,99,29,2.86,BR,2020-06-28 01:49:50,scattered clouds,0.0,0.0
421,Ewo,-0.87,14.82,74.44,76,4,4.23,CG,2020-06-28 01:49:50,clear sky,0.0,0.0
422,Adrar,20.5,-10.07,95.13,10,0,16.42,MR,2020-06-28 01:49:50,clear sky,0.0,0.0
423,Mount Pleasant,32.79,-79.86,84.2,66,20,3.36,US,2020-06-28 01:47:51,haze,0.0,0.0
424,Charters Towers,-20.1,146.27,71.64,61,21,10.65,AU,2020-06-28 01:49:50,few clouds,0.0,0.0
425,Bengkulu,-3.8,102.27,82.89,67,4,3.31,ID,2020-06-28 01:49:50,clear sky,0.0,0.0
426,Adand,46.86,18.16,67.68,80,0,2.62,HU,2020-06-28 01:49:50,clear sky,0.0,0.0
427,Lerwick,60.15,-1.15,55.4,100,72,16.11,GB,2020-06-28 01:49:14,broken clouds,0.0,0.0
428,Sur,22.57,59.53,84.43,71,67,12.68,OM,2020-06-28 01:45:14,broken clouds,0.0,0.0
429,Kirakira,-10.45,161.92,85.06,72,81,10.4,SB,2020-06-28 01:49:50,light rain,0.26,0.0
430,Vaasa,63.1,21.62,60.01,71,59,6.93,FI,2020-06-28 01:49:50,broken clouds,0.0,0.0
431,Ulladulla,-35.35,150.47,57.2,47,75,8.05,AU,2020-06-28 01:49:51,broken clouds,0.0,0.0
432,Vagur,61.47,-6.81,53.11,98,100,20.11,FO,2020-06-28 01:49:51,overcast clouds,0.0,0.0
433,Gresham,45.5,-122.43,66.99,52,75,13.87,US,2020-06-28 01:45:24,broken clouds,0.0,0.0
434,Swindon,51.56,-1.78,52.0,100,90,12.75,GB,2020-06-28 01:49:35,overcast clouds,0.0,0.0
435,Price,39.6,-110.81,89.6,11,1,13.87,US,2020-06-28 01:49:51,clear sky,0.0,0.0
436,Krasnokamensk,50.1,118.04,76.68,33,94,6.96,RU,2020-06-28 01:49:51,overcast clouds,0.0,0.0
437,Half Moon Bay,37.46,-122.43,68.0,60,40,19.46,US,2020-06-28 01:49:51,scattered clouds,0.0,0.0
438,Panji,-7.73,114.1,84.29,56,65,1.88,ID,2020-06-28 01:49:51,broken clouds,0.0,0.0
439,Mantua,45.17,10.78,71.01,83,0,1.01,IT,2020-06-28 01:49:51,clear sky,0.0,0.0
440,Kruisfontein,-34.0,24.73,53.91,67,42,21.54,ZA,2020-06-28 01:49:51,light rain,0.19,0.0
441,Palmer,42.16,-72.33,66.99,100,90,5.82,US,2020-06-28 01:49:51,overcast clouds,0.0,0.0
442,Jega,12.22,4.38,84.11,60,16,13.89,NG,2020-06-28 01:49:51,few clouds,0.0,0.0
443,Mercedes,-34.65,-59.43,46.0,39,7,1.01,AR,2020-06-28 01:45:57,clear sky,0.0,0.0
444,Haverfordwest,51.8,-4.97,57.2,82,15,29.97,GB,2020-06-28 01:46:22,few clouds,0.0,0.0
445,Posse,-14.09,-46.37,67.53,52,0,4.36,BR,2020-06-28 01:49:51,clear sky,0.0,0.0
446,Schongau,47.82,10.9,60.01,78,47,4.14,DE,2020-06-28 01:49:51,scattered clouds,0.0,0.0
447,Takoradi,4.88,-1.76,76.35,88,100,8.72,GH,2020-06-28 01:49:51,light rain,0.31,0.0
448,Bilibino,68.05,166.44,46.78,53,82,13.33,RU,2020-06-28 01:49:51,broken clouds,0.0,0.0
449,Antofagasta,-23.65,-70.4,59.0,77,90,6.93,CL,2020-06-28 01:49:51,overcast clouds,0.0,0.0
450,Pafos,34.77,32.42,73.4,94,0,3.36,CY,2020-06-28 01:44:56,clear sky,0.0,0.0
451,Vadso,70.07,29.75,44.6,81,97,8.05,NO,2020-06-28 01:49:51,overcast clouds,0.0,0.0
452,Nagato,34.38,131.2,77.0,73,75,9.17,JP,2020-06-28 01:49:51,broken clouds,0.0,0.0
453,Vuktyl,63.86,57.31,46.18,66,3,11.92,RU,2020-06-28 01:49:52,clear sky,0.0,0.0
454,Yeppoon,-23.13,150.73,71.6,49,90,10.29,AU,2020-06-28 01:49:52,overcast clouds,0.0,0.0
455,Zhanakorgan,43.91,67.25,62.51,39,14,6.15,KZ,2020-06-28 01:49:52,few clouds,0.0,0.0
456,Sakakah,29.97,40.21,84.2,12,0,8.05,SA,2020-06-28 01:49:52,clear sky,0.0,0.0
457,Umm Lajj,25.02,37.27,84.78,44,21,10.8,SA,2020-06-28 01:49:52,few clouds,0.0,0.0
458,Harper,4.38,-7.72,75.94,80,99,7.45,LR,2020-06-28 01:49:52,overcast clouds,0.0,0.0
459,Korgen,66.08,13.82,60.01,71,74,1.99,NO,2020-06-28 01:49:52,broken clouds,0.0,0.0
460,Kameshkovo,56.35,41.0,57.99,85,54,4.47,RU,2020-06-28 01:49:52,broken clouds,0.0,0.0
461,Castrillon,43.4,-6.79,62.6,88,90,1.12,ES,2020-06-28 01:49:52,overcast clouds,0.0,0.0
462,Tilichiki,60.47,166.1,56.48,65,100,13.8,RU,2020-06-28 01:49:52,overcast clouds,0.0,0.0
463,Misratah,32.38,15.09,73.17,80,0,8.84,LY,2020-06-28 01:47:41,clear sky,0.0,0.0
