,City,Country,Max Temp,Lat,Lng,Description,Hotel Name
246,Tomatlan,MX,80.15,19.93,-105.25,scattered clouds,Norma franco
250,Cocobeach,GA,77.0,1.0,9.58,few clouds,Hôtel A Cocobeach
252,Meulaboh,ID,81.77,4.14,96.13,clear sky,Kost Pria
253,Elizabeth City,US,82.4,36.29,-76.25,clear sky,Hampton Inn Elizabeth City
254,Ahuimanu,US,86.0,21.44,-157.84,scattered clouds,Paradise Bay Resort
255,Le Vauclin,MQ,82.4,14.55,-60.84,broken clouds,Hôtel Cap Macabou
257,Santa Ana,US,75.0,33.75,-117.87,scattered clouds,Best Western Plus Orange County Airport North
268,Petropavlovsk-Kamchatskiy,RU,78.8,53.05,158.65,scattered clouds,"ООО ""Гостиничный комплекс ""Петропавловск"""
272,Bandundu,CD,76.93,-3.32,17.37,broken clouds,Coja Color
274,Katsina,NG,81.39,12.99,7.6,overcast clouds,Katsina Motel
278,Makakilo City,US,87.8,21.35,-158.09,broken clouds,Marriott's Ko Olina Beach Club
281,Dicabisagan,PH,87.75,17.08,122.42,overcast clouds,
287,Tabuk,PH,86.22,17.42,121.44,overcast clouds,Grand Zion Garden Resort Hotel
288,Salalah,OM,82.4,17.02,54.09,broken clouds,HAMDAN PLAZA HOTEL
289,Batticaloa,LK,82.29,7.71,81.69,broken clouds,Grand Star Guest House
297,Naze,JP,80.6,28.37,129.48,light rain,奄美ポートタワーホテル
303,Keti Bandar,PK,87.3,24.14,67.45,broken clouds,Haji laloo memon house
304,Kidal,ML,86.85,18.44,1.41,clear sky,
306,Tianpeng,CN,89.01,30.99,103.94,overcast clouds,Shuangliu Love Home Business Hotel
308,Kyren,RU,75.81,51.68,102.14,clear sky,"Energetik, Pansionat Ooo ""Grand Baykal"""
311,Progreso,MX,84.99,21.28,-89.67,broken clouds,Playa Linda Hotel
319,Saint-Georges,GD,80.6,12.06,-61.75,scattered clouds,Radisson Grenada Beach Resort
322,Vila Velha,BR,75.2,-20.33,-40.29,clear sky,Hotel Vitória Palace
323,Seoul,KR,80.6,37.57,126.98,few clouds,LOTTE HOTEL SEOUL
333,Kavaratti,IN,83.48,10.57,72.64,scattered clouds,Bismillah Hotel And Lodging
336,Hibbing,US,78.8,47.43,-92.94,few clouds,Hibbing Park Hotel and Suites
338,Moroni,KM,75.69,-11.7,43.26,clear sky,Hotel les Arcades
340,Tommot,RU,79.66,58.96,126.29,clear sky,Gostinitsa Tommot
343,Boone,US,78.01,39.03,-92.33,overcast clouds,Cottonwoods RV Park
345,Iralaya,HN,80.47,15.0,-83.23,overcast clouds,Iglesia morava renovada
